"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"
"66"	65	24	10	9	13	0	15	3	9	0	2	17	13	6	27	1	4	28	15	5	14	0	0	0	1	0	1	5	5	0
"67"	106	0	3	8	22	24	19	1	0	10	0	10	4	8	21	2	1	21	4	2	13	0	0	13	2	0	3	1	9	0
"68"	42	0	2	2	7	97	4	1	0	4	1	3	4	7	14	0	1	35	5	3	4	0	0	0	1	0	1	0	0	16
"69"	47	15	7	14	12	1	21	0	1	0	2	15	14	8	17	7	2	25	11	12	7	0	9	0	0	0	1	0	1	0
"70"	94	0	0	0	22	0	18	0	0	0	1	6	1	3	18	2	1	20	7	8	9	0	16	0	2	2	1	0	0	0
"71"	91	0	0	0	45	0	0	1	0	0	0	20	0	15	11	3	0	8	1	0	0	0	13	0	3	7	4	1	0	0
"72"	86	20	0	11	18	0	43	2	0	0	2	16	11	11	5	10	1	8	25	0	9	0	0	11	0	2	6	1	6	0
"73"	109	0	0	0	0	0	13	1	0	0	0	9	5	0	35	0	2	21	6	10	0	0	7	0	1	1	0	1	19	0
"74"	62	14	7	14	14	0	20	1	5	12	0	7	15	6	28	2	1	28	22	15	19	6	0	8	1	1	0	3	6	0
"75"	29	0	0	6	18	53	14	1	2	0	2	5	7	4	15	1	0	15	14	5	12	0	16	0	2	0	0	1	2	0
"76"	32	0	0	6	8	5	19	7	0	1	3	9	6	8	3	1	1	5	20	9	9	0	11	3	2	0	0	0	0	1
"77"	51	0	3	12	28	0	20	0	1	1	1	7	4	4	11	2	1	15	6	3	11	0	7	0	2	0	1	1	5	0
"78"	31	0	0	0	22	0	15	1	0	1	4	9	0	0	8	2	1	16	4	11	7	0	15	0	0	1	1	0	0	0
"79"	41	6	2	6	15	3	21	0	2	7	1	5	3	5	2	4	0	10	12	8	9	0	0	0	0	0	1	0	2	1
"80"	73	21	6	0	5	0	12	1	5	0	2	7	8	7	12	1	1	10	13	2	10	0	7	0	1	10	2	1	9	0
"81"	23	1	3	2	8	0	16	1	0	4	0	5	7	2	2	0	1	7	9	6	4	0	0	0	0	0	1	0	1	0
"82"	35	7	0	4	8	0	10	1	1	8	0	4	3	2	6	0	0	5	3	8	6	0	0	2	1	0	0	1	0	1
"83"	65	20	0	8	12	0	17	2	0	0	1	15	1	6	12	0	2	9	3	0	0	18	0	12	0	0	0	0	2	0
"84"	50	0	0	8	22	0	24	2	0	4	1	1	0	2	2	3	0	3	3	3	4	0	17	0	1	1	0	0	5	0
"85"	39	0	0	0	0	0	0	1	2	0	0	8	0	0	16	1	1	0	3	0	0	0	3	0	0	10	1	1	0	9
"86"	19	5	2	7	7	35	7	1	3	2	0	5	2	3	8	0	1	10	6	3	17	0	0	6	0	3	1	0	0	9
"87"	54	26	0	13	19	45	30	0	2	4	1	9	10	9	21	2	4	24	17	9	10	0	0	0	0	2	2	4	8	0
"88"	66	0	0	0	15	0	0	2	2	0	1	7	0	7	34	0	5	36	7	6	0	0	14	0	1	0	0	0	6	0
"89"	87	0	0	0	22	0	22	1	0	0	0	14	0	0	12	2	1	0	7	0	0	0	0	11	1	6	3	0	10	0
"90"	90	0	0	9	19	0	19	1	4	0	1	9	5	2	3	2	0	3	2	0	0	2	0	11	0	1	2	0	0	2
"91"	64	28	13	14	18	0	24	0	2	0	1	9	5	3	19	1	1	21	16	11	20	0	0	7	0	5	0	2	5	13
"92"	73	0	0	7	16	0	25	1	1	1	2	8	1	4	8	1	1	16	9	0	18	0	1	18	2	0	0	0	8	0
"93"	66	0	0	0	15	0	0	1	0	0	0	6	1	2	8	7	1	22	2	7	3	0	1	4	2	0	1	0	0	16
"94"	36	0	0	6	16	34	9	4	0	0	1	10	8	4	12	1	4	23	6	14	13	0	27	0	1	0	2	0	13	0
"95"	64	0	3	16	33	3	26	2	1	0	2	9	3	5	5	3	0	6	17	15	2	0	5	0	0	4	1	0	2	0
"96"	48	27	0	10	7	0	28	0	1	0	1	4	6	2	15	1	1	15	12	6	14	0	12	0	2	0	1	2	8	0
"97"	21	14	4	7	6	70	9	1	2	0	0	6	6	4	9	1	3	11	7	6	5	0	7	11	0	0	1	1	0	4
"98"	40	18	8	14	33	16	25	0	0	7	1	4	3	3	2	1	3	13	26	5	9	0	7	4	0	0	0	1	0	4
